2;0;1;0;3;
2;2;0;0;4;
1;0;2;0;3;
1;0;0;0;1;
1;0;0;0;1;
1;0;1;1;3;
3;0;0;1;4;
2;1;0;0;3;
0;0;1;0;1;
0;0;1;0;1;
1;0;0;1;2;
4;0;0;1;5;
8;3;0;5;16;
3;0;0;1;4;
0;0;0;0;0;
0;0;8;5;13;
3;5;8;3;19;
6;0;7;5;18;
1;0;0;0;1;
0;0;0;0;0;
4;1;0;2;7;
3;0;1;0;4;
0;0;0;0;0;
2;0;0;0;2;
2;0;1;0;3;
2;0;1;0;3;
1;0;0;1;2;
6;0;9;5;20;
7;1;0;3;11;
1;1;0;0;2;
8;0;2;1;11;
0;0;0;0;0;
8;4;0;5;17;
5;1;5;0;11;
5;1;1;4;11;
1;0;4;3;8;
20;11;66;29;126;
5;0;3;2;10;
3;0;0;1;4;
1;0;1;2;4;
2;2;23;4;31;
4;0;1;0;5;
2;0;0;0;2;
14;1;6;3;24;
13;3;21;4;41;
0;0;0;1;1;
3;1;2;1;7;
0;0;0;0;0;
8;0;6;3;17;
3;0;1;3;7;
3;0;0;1;4;
0;0;1;0;1;
2;0;3;0;5;
2;1;0;0;3;
0;0;0;0;0;
7;1;1;1;10;
2;1;1;1;5;
2;0;2;2;6;
12;1;2;8;23;
1;1;0;0;2;
2;3;0;1;6;
4;1;4;2;11;
5;1;0;0;6;
5;2;1;1;9;
0;0;2;0;2;
2;0;0;1;3;
6;0;0;0;6;
2;0;1;1;4;
5;4;0;2;11;
0;0;0;0;0;
2;0;1;2;5;
5;2;7;7;21;
7;0;0;0;7;
2;0;0;1;3;
3;1;2;3;9;
5;0;1;7;13;
6;0;0;1;7;
9;2;1;3;15;
3;0;7;3;13;
1;0;3;1;5;
1;1;0;4;6;
2;0;0;0;2;
2;0;0;0;2;
6;0;1;0;7;
2;2;3;1;8;
4;2;20;6;32;
4;1;3;1;9;
1;1;0;2;4;
0;0;1;0;1;
0;0;0;0;0;
4;2;1;3;10;
3;0;1;0;4;
3;2;1;0;6;
6;0;0;3;9;
2;0;0;1;3;
317;70;254;170;811;
